Campaign UUID,Offer type,Status,Start date,End date,Stores,Audience,Sales (USD),New customers,Orders,Uber funding (%),Items
ad158781-52b7-454b-a33d-b78b71f13015,"Free Item (Spend 20)",ACTIVE,"Aug 11, 2025","Aug 29, 2025",1,"Uber One members only","$0",0,0,0,""
bf195da0-de51-43be-af81-a5a7fcf6c090,"Buy 1, Get 1 Free",ACTIVE,"Aug 11, 2025","Aug 29, 2025",1,"Custom audience","$0",0,0,0,""
9b6ca0eb-a39a-49d6-a9b5-5f8e3c254b1d,"Spend 20, Save 5",ACTIVE,"Aug 11, 2025","Aug 29, 2025",1,"Custom audience","$0",0,0,0,""
3436e56e-af6d-455a-83eb-14060038289a,"Free Item (Spend 20)",ACTIVE,"Aug 11, 2025","Aug 29, 2025",1,"Uber One members only","$0",0,0,0,""
966923e1-1055-4b56-a164-8317a0592280,"Buy 1, Get 1 Free",ACTIVE,"Aug 11, 2025","Aug 29, 2025",1,"Custom audience","$0",0,0,0,""
44578753-c541-4784-8c1c-b0a4ff103f9d,"Spend 20, Save 5",ACTIVE,"Aug 11, 2025","Aug 29, 2025",1,"Custom audience","$0",0,0,0,""
a42290d9-af90-4b4a-8a69-1cfe97701235,"Free Item (Spend 20)",ACTIVE,"Aug 11, 2025","Aug 29, 2025",1,"Uber One members only","$0",0,0,0,""
d2139be1-f080-49b2-ba43-719af36a3de8,"Buy 1, Get 1 Free",ACTIVE,"Aug 11, 2025","Aug 29, 2025",1,"Custom audience","$0",0,0,0,""
d889bde4-97e2-4292-a825-f75b8c87c536,"Spend 20, Save 5",ACTIVE,"Aug 11, 2025","Aug 29, 2025",1,"Custom audience","$23",0,1,0,""
da06a918-49ec-4d70-8651-0ca28dfbc261,"Free Item (Spend 20)",ACTIVE,"Aug 11, 2025","Aug 29, 2025",1,"Uber One members only","$0",0,0,0,""
92333cd0-00f4-4bd8-820d-776fec603c75,"Buy 1, Get 1 Free",ACTIVE,"Aug 11, 2025","Aug 29, 2025",1,"Custom audience","$0",0,0,0,""
bfb05ef0-601a-4bd4-84f9-e026e00f6805,"Spend 20, Save 5",ACTIVE,"Aug 11, 2025","Aug 29, 2025",1,"Custom audience","$1,381",10,48,0,""
ba7e8b4b-c959-41e5-b127-15cc350aa1da,"Free Item (Spend 20)",ACTIVE,"Aug 11, 2025","Aug 29, 2025",1,"Uber One members only","$32",0,1,0,"Sausage Egg McMuffin® Meal"
8389723a-abbc-4b3b-bed5-509b0d86d53b,"Buy 1, Get 1 Free",ACTIVE,"Aug 11, 2025","Aug 29, 2025",1,"Custom audience","$0",0,0,0,""
d5b479f7-4216-4b53-a2fb-1bdd18759bd5,"Spend 20, Save 5",ACTIVE,"Aug 11, 2025","Aug 29, 2025",1,"Custom audience","$3,427",33,123,0,""
ba9dfd7c-f936-4b26-997d-2c74683a3230,"Free Item (Spend 20)",ACTIVE,"Aug 11, 2025","Aug 29, 2025",1,"Uber One members only","$0",0,0,0,""
14ecd408-fdc0-4399-8d81-0b4048d431d2,"Buy 1, Get 1 Free",ACTIVE,"Aug 11, 2025","Aug 29, 2025",1,"Custom audience","$0",0,0,0,""
