Store Name,Shop ID,Store ID,Order Count,Count of Misc payment,Sales (excl. tax),Tax on Sales,Sales (incl. tax),Order Error Adjustments,Tax on Order Error Adjustments,Order Error Adjustments (incl. tax),Price adjustments (excl. tax),Tax on Price Adjustments,Price Adjustments (incl. tax),Offers on items (incl. tax),Tax On Offers on items,Delivery Offer Redemptions (incl. tax),Tax On Delivery Offer Redemptions,Marketing Adjustment,Bag Fee,Marketplace Fee,Tax on Marketplace Fee,Delivery Network Fee,Tax on Delivery Network Fee,Order Processing Fee,Total Sales after Adjustments (incl tax),Capital payments,Other payments,Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Payout reference ID
McDonald's® (95 RICHMOND ST),914b0747-950e-436c-b45a-135451e7944a,1807,89,0,2297.4,8.08,2305.48,-23.21,0,-23.21,0,0,0,-390.64,-0.75,0,0,0,0,-291.58,0,0,0,0,1914.84,0,0,-7.33,0,1591.97,8/18/25,Y7L0WXVOL7LPA29
McDonald's® (2102 RIVER AVE),e970bbdf-f08d-4973-beb7-e5705b9958f8,6678,18,1,509.56,1.37,510.93,0,0,0,0,0,0,-61.95,-0.04,0,0,0,0,-67.33,0,0,0,0,448.98,0,28.19,-1.33,0,408.47,8/18/25,IAM837H4975PGYZ
McDonald's® (3221 OBERLIN AVE),ac90e816-e98a-4464-ba44-06592b167a86,16255,62,0,1484.77,6.24,1491.01,-4.49,0,-4.49,0,0,0,-161.07,-0.5,0,0,0,0,-203.33,0,0,0,0,1329.94,0,0,-5.74,0,1115.88,8/18/25,WN2I0E2GF60UB4X
McDonald's® (35900 CENTER RIDGE RD),4213c40d-2b4e-40a2-8be5-f3ae4b6ca02f,34162,38,0,1055.53,3.17,1058.7,-30.72,0,-30.72,0,0,0,-120.39,-0.12,0,0,0,0,-140.38,0,0,0,0,938.31,0,0,-3.05,0,764.04,8/18/25,GGIYNL2MEPUYCUQ
McDonald's® (1725 HENDERSON DRIVE),87d18902-06ce-4939-882a-370dc8ce8dec,24316,73,2,1898.07,2.92,1900.99,-31.54,0,-31.54,0,0,0,-281.97,-0.15,0,0,0,0,-249.65,0,0,0,0,1619.02,0,9.08,-2.77,-323.61,1020.38,8/18/25,YDB9Y2N4R6LYFSN
McDonald's (4783 Liberty Ave),3d2d8bd9-5a32-543b-a0f7-836f141dd27d,23727,2,0,35.52,0,35.52,0,0,0,0,0,0,0,0,0,0,0,0,-5.3,0,0,0,0,35.52,0,0,0,0,30.22,8/18/25,EKPQPNJ7Z1A1NNE
McDonald's® (412 Main St),9376c1e8-6220-4e4b-b294-87880ece685c,19593,7,0,203.14,0.77,203.91,0,0,0,0,0,0,-15.18,-0.07,0,0,0,0,-30.07,0,0,0,0,188.73,0,0,-0.7,0,157.89,8/18/25,NEMS8I8DGK9XNQT
McDonald's® (908 W PERKINS),ea956b12-1aa6-4350-8dfd-1b5d61c10b23,12283,18,0,521.03,1.24,522.27,0,0,0,0,0,0,-72.71,-0.03,0,0,0,0,-67.85,0,0,0,0,449.56,0,0,-1.21,0,380.47,8/18/25,R3P7HHFFV3L241J
McDonald's® (117th St & Detroit),491f182f-a4e2-4f38-a00b-1aee28d778da,1568,366,8,8251.18,24.66,8275.84,-189.34,0,-189.34,0,0,0,-1711.34,-1.4,0,0,0,0,-1003.12,0,0,0,0,6564.5,0,-0.2,-23.26,0,5347.18,8/18/25,IRI6G7RGZIKAL52
McDonald's® (32528 LORAIN RD),bde8a002-39d6-4f1e-b33f-1d64a3fa32ca,16875,102,0,2768.75,8.98,2777.73,-10.84,0,-10.84,0,0,0,-336.93,-0.75,0,0,0,0,-375.85,0,0,0,0,2440.8,0,0,-8.23,0,2045.13,8/18/25,CV04FEXC3W990CW
McDonald's (31 W MAIN STREET),897eca28-a40a-5b68-be9b-7981deae2e9a,11969,1,0,24.57,0,24.57,0,0,0,0,0,0,0,0,0,0,0,0,-3.44,0,0,0,0,24.57,0,0,0,0,21.13,8/18/25,A89G0CZAGJJUNDL
McDonald's® (Puritas & 143rd St),a198a1e2-b045-4037-996c-f6d56c9b46c9,11366,61,0,1498.66,4.63,1503.29,-62.39,0,-62.39,0,0,0,-257.7,-0.12,0,0,0,0,-191.51,0,0,0,0,1245.59,0,0,-4.51,0,987.06,8/18/25,69GX6MKTCXLL5N9
McDonald's® (1582 MENTOR AVE),bb8cdad5-292d-45b0-8d99-161e2c07ef8d,10705,28,0,751.18,1.59,752.77,-12.72,0,-12.72,0,0,0,-91.7,-0.05,0,0,0,0,-98.37,0,0,0,0,661.07,0,0,-1.54,0,548.39,8/18/25,KMQCXS2BDLH2U1V
McDonald's® (Lorain & 226th St),18963aec-6a43-4d25-b62c-a6aaf5644d5f,174,79,1,1947.27,4.44,1951.71,-21.55,0,-21.55,0,0,0,-323.06,-0.13,0,0,0,0,-248.96,0,0,0,0,1628.65,0,1.9,-4.31,0,1355.6,8/18/25,TFFZVRXRQFZQXMT
McDonald's® (4204 MILAN ROAD),eee7f2d1-f345-4d2b-b24e-08abe3c24f17,32777,19,0,517.92,0.21,518.13,-3.58,0,-3.58,0,0,0,-85.5,0,0,0,0,0,-65.87,0,0,0,0,432.63,0,0,-0.21,0,362.97,8/18/25,VETKIL64PGNW6OT
McDonald's® (Lorain & Dover Center),67ae0730-77ff-491f-a800-6535242e3a09,817,136,0,3886.02,10.08,3896.1,-56.44,0,-56.44,0,0,0,-594.45,-0.61,0,0,0,0,-496.93,0,0,0,0,3301.65,0,0,-9.47,0,2738.2,8/18/25,IK90QV0QJAQRB0D
