Store Name,Shop ID,Store ID,Order Count,Count of Misc payment,Sales (excl. tax),Tax on sales,Sales (incl. tax),Refunds (excl tax),Tax on Refunds,Refunds (incl tax),Price adjustments (excl. tax),Tax on price adjustments,Adjustments (including tax),Promotions on items,Tax on Promotion on items,Promotions on delivery,Tax on Promotions on Delivery,Marketing adjustment,Bag Fee,Marketplace fee,Tax on Marketplace fee,Delivery Network Fee,Tax on delivery network fee,Order Processing Fee,Total Sales after Adjustments (incl tax),Other payments,Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Payout reference ID
McDonald's® (117th St & Detroit),491f182f-a4e2-4f38-a00b-1aee28d778da,1568,260,9,5754.61,33.91,5788.52,-48.5,-0.18,-48.68,0,0,0,-632.21,0,0,0,0,0,-793.79,0,0,0,0,5156.31,-19.77,-33.73,0,4302.55,6/30/25,FVAVMNLYFHW0ME9
McDonald's® (1582 MENTOR AVE),bb8cdad5-292d-45b0-8d99-161e2c07ef8d,10705,24,2,538.88,3.2,542.08,0,0,0,0,0,0,-68.29,0,0,0,0,0,-72.29,0,0,0,0,473.79,0,-3.2,0,404.24,6/30/25,JLZY5HDCUTXCQXV
McDonald's® (1725 HENDERSON DRIVE),87d18902-06ce-4939-882a-370dc8ce8dec,24316,66,2,1730.29,10.22,1740.51,0.49,0,0.49,0,0,0,-137.18,0,0,0,0,0,-246.87,0,0,0,0,1603.33,0,-10.22,-317.96,1006.81,6/30/25,LQ0D7N30YGI28G7
McDonald's® (2102 RIVER AVE),e970bbdf-f08d-4973-beb7-e5705b9958f8,6678,19,1,549.66,3.18,552.84,0,0,0,0,0,0,-49.83,0,0,0,0,0,-78.33,0,0,0,0,503.01,0,-3.18,0,422.84,7/1/25,3BQ82YBNJFFC5GV
McDonald's® (249 Benedict Ave),e491d6e9-a063-4943-81ed-5db185c208ec,3401,3,0,42.95,0.22,43.17,0,0,0,0,0,0,0,0,0,0,0,0,-6.33,0,0,0,0,43.17,0,-0.22,0,36.62,6/30/25,3J9AHIVVIZPUU1W
McDonald's® (3221 OBERLIN AVE),ac90e816-e98a-4464-ba44-06592b167a86,16255,45,2,1227.33,5.79,1233.12,-47.12,-0.82,-47.94,0,0,0,-102.73,0,0,0,0,0,-170.41,0,0,0,0,1130.39,0,-4.97,0,915.69,6/30/25,G127JAI1WMP5YTV
McDonald's® (32528 LORAIN RD),bde8a002-39d6-4f1e-b33f-1d64a3fa32ca,16875,96,2,2493.69,9.71,2503.4,-22.52,-0.37,-22.89,0,0,0,-204.67,0,0,0,0,0,-357.25,0,0,0,0,2298.73,0,-9.34,0,1930.42,6/30/25,43LN3XL9UJ15E5B
McDonald's® (35900 CENTER RIDGE RD),4213c40d-2b4e-40a2-8be5-f3ae4b6ca02f,34162,36,1,934.08,4.41,938.49,0,0,0,0,0,0,-83.78,0,0,0,0,0,-128.32,0,0,0,0,854.71,-17.09,-4.41,0,704.89,6/30/25,F2MCKF5NLRORKV4
McDonald's® (412 Main St),9376c1e8-6220-4e4b-b294-87880ece685c,19593,3,0,69.04,0.84,69.88,0,0,0,0,0,0,-12.58,0,0,0,0,0,-9.04,0,0,0,0,57.3,0,-0.84,0,47.42,6/30/25,W02NJF77LBZ8I36
McDonald's® (4204 MILAN ROAD),eee7f2d1-f345-4d2b-b24e-08abe3c24f17,32777,2,1,14.98,0,14.98,0,0,0,0,0,0,0,0,0,0,0,0,-2.18,0,0,0,0,14.98,0,0,0,13.47,6/30/25,2HARJBD9V95PO8V
McDonald's® (908 W PERKINS),ea956b12-1aa6-4350-8dfd-1b5d61c10b23,12283,10,0,225.14,1.12,226.26,0,0,0,0,0,0,-17.97,0,0,0,0,0,-32.14,0,0,0,0,208.29,0,-1.12,0,175.03,6/30/25,CYM6OIXLGQUWP4X
McDonald's® (95 RICHMOND ST),914b0747-950e-436c-b45a-135451e7944a,1807,73,2,1818.87,11.7,1830.57,-9.68,0,-9.68,0,0,0,-182.1,0,0,0,0,0,-249.31,0,0,0,0,1648.47,0,-11.7,0,1388.93,6/30/25,56P60DANWNWJ9XT
McDonald's® (Lorain & 226th St),18963aec-6a43-4d25-b62c-a6aaf5644d5f,174,70,2,1977.77,6.67,1984.44,-18.16,0,-18.16,0,0,0,-225.62,0,0,0,0,0,-268.73,0,0,0,0,1758.82,0,-6.67,0,1487.04,7/1/25,7J94SME76TD2FND
McDonald's® (Lorain & Dover Center),67ae0730-77ff-491f-a800-6535242e3a09,817,117,2,2777.8,12.36,2790.16,-50.17,-0.4,-50.57,0,0,0,-310.08,0,0,0,0,0,-379.15,0,0,0,0,2480.08,0,-11.96,0,2063.59,6/30/25,TJ92JJE61U1JA9V
McDonald's® (Puritas & 143rd St),a198a1e2-b045-4037-996c-f6d56c9b46c9,11366,65,2,1537.54,7.99,1545.53,-10.04,0,-10.04,0,0,0,-172.42,0,0,0,0,0,-212.24,0,0,0,0,1373.11,0,-7.99,0,1152.01,6/30/25,UXQRW6OUJ6W4WCT
