Campaign UUID,Offer type,Status,Start date,End date,Stores,Audience,Sales (USD),New customers,Orders,Uber funding (%),Items
513aa248-c0e3-4c40-af19-63f25490ad33,"$0 Delivery Fee",ACTIVE,"Jul 2, 2025","Jul 10, 2025",1,"All customers","$0",0,0,100,""
794f7976-8dc2-484e-a375-60c02b9217ba,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$196",4,5,0,"10 pc. Chicken McNuggets®"
b5b133f0-2ce8-419a-a6a6-535ec63d4950,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$29",1,1,0,"10 pc. Chicken McNuggets®"
8ef2621b-0204-4be3-b620-032c23f94d7e,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$0",0,0,0,""
6a1931dd-77c7-4e0b-84d2-20354ccb5426,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$26",1,1,0,"10 pc. Chicken McNuggets®"
2067fca7-10e8-48b7-8d7c-018a7e1b1317,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$0",0,0,0,""
cc465235-b238-4e6c-8071-76cb0c9704b0,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$47",0,1,0,"10 pc. Chicken McNuggets®"
f6c44b21-8121-4268-aeb0-c9fc960afb35,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$0",0,0,0,""
e552ce76-da8d-4780-aea4-e4f7942ac75d,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$439",4,11,0,"10 pc. Chicken McNuggets®"
43f229bb-c7e2-4c06-84cb-10e0d80146c7,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$0",0,0,0,""
1f188105-361c-498a-bf60-9344389c2ddc,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$0",0,0,0,""
7bb3f560-f178-4dcf-a0ed-6d19b64e6c2e,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$71",1,2,0,"10 pc. Chicken McNuggets®"
3bc9dae6-447e-46c8-84b9-c06774993344,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$0",0,0,0,""
7d630270-02da-47a6-9ecf-b1fcf30ef7c6,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$0",0,0,0,""
f49d0833-1094-4c0c-b365-59d232292332,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$28",1,1,0,"10 pc. Chicken McNuggets®"
ee7df889-eba2-42b4-9c05-f25608403a0c,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$432",8,16,0,"10 pc. Chicken McNuggets®"
2c37199c-7437-4252-9157-0a074e2ebac5,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$26",1,1,0,"10 pc. Chicken McNuggets®"
c74e04b0-09c0-4c09-ae83-abe35b5b13a4,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$0",0,0,0,""
3675f34f-1569-4d86-bba0-5e7617c69282,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$0",0,0,0,""
5e21c392-6c9e-4f22-9092-b8e40cef719d,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$71",0,3,0,"10 pc. Chicken McNuggets®"
d3ed1107-5409-4d79-8c76-b3ce8ae91704,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$0",0,0,0,""
77871b07-2b30-419b-a53d-032a6f52cc49,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$48",2,2,0,"10 pc. Chicken McNuggets®"
e4b1a214-3379-4f4a-a06a-93ad41bd87ce,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$113",3,4,0,"10 pc. Chicken McNuggets®"
13060850-8a80-4333-a60d-ed56bdc1f7fb,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$287",3,8,0,"10 pc. Chicken McNuggets®"
f710f468-cba0-4057-ab7b-b59660201a66,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,"Custom audience","$248",2,6,0,"10 pc. Chicken McNuggets®"
78baf9a3-884e-440e-9af2-8aeef3e07b8d,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$53",1,2,0,"Medium French Fries"
3e1086e2-e3ae-4136-9761-04e8daf4b0f5,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$23",0,1,0,"Medium French Fries"
d7c45f93-3c8d-4680-ba48-9aa801d98274,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$0",0,0,0,""
4da83d81-297a-49b0-9855-cbf7f79973e7,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$57",1,2,0,"Medium French Fries"
c4e3b93e-f8d1-4cfe-bd2d-f99c87d7645d,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$0",0,0,0,""
0aa1c620-bdb9-4f1b-b0ef-c7ef5b226c7c,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$0",0,0,0,""
693530a6-aaa4-4536-b549-9bae17fb6f95,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$0",0,0,0,""
6edcea55-a21e-478d-b336-9e55f4bf9acc,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$437",2,14,0,"Medium French Fries"
fcd04924-b765-4478-a602-5f00badc2292,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$0",0,0,0,""
368643ac-e919-46cd-80ba-178883b72e30,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$0",0,0,0,""
379caa2b-bcb2-46fb-898d-c682e3115996,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$55",0,2,0,"Medium French Fries"
2076d5a8-4f2d-402d-a34f-3cff59e5f38a,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$0",0,0,0,""
a6c48a0d-1190-41da-9cd5-c0da1a7512c9,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$0",0,0,0,""
d336994f-de4c-48d8-afca-b84b9fa8a10a,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$124",0,3,0,"Medium French Fries"
625f2607-dcf2-428b-b3ca-9ce28076db47,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$1,383",8,46,0,"Medium French Fries"
76b8a99c-4778-492e-8cac-37b78036ed28,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$167",0,6,0,"Medium French Fries"
1e56c43c-34c3-40c4-a497-3c99be19a203,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$0",0,0,0,""
cf249d7b-0769-4ec8-8434-473d2dfd64cf,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$0",0,0,0,""
c41211b2-2d7a-48ca-b583-b4facbdfd66b,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$289",0,8,0,"Medium French Fries"
5de2e998-248d-4745-8626-4f0ffc8c0dcf,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$0",0,0,0,""
b2842072-e410-4855-bef5-e1a75b4fcb87,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$253",0,8,0,"Medium French Fries"
b2023bb7-b3e5-471f-ad75-577c92717b85,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$335",2,11,0,"Medium French Fries"
977aaf6e-21bd-408f-8a26-f7226ef44fbc,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$450",4,16,0,"Medium French Fries"
67329870-d1f8-4288-a6e9-8df4cdf065ac,"Free Item (Spend 15)",COMPLETED,"Jul 2, 2025","Jul 6, 2025",1,"Custom audience","$92",1,3,0,"Medium French Fries"
a1100b8b-9dbf-49b1-9ab4-b5121a6f3647,"$0 Delivery Fee",COMPLETED,"Jun 29, 2025","Jul 6, 2025",1,"All customers","$0",0,0,100,""
5b21461b-52eb-4a1c-8426-391a63db32d7,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$24",0,1,0,"6 pc. Chicken McNuggets®"
4fef7c6e-f965-4196-93a3-3ae224e51404,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
70fe4a24-b0a7-4e79-8aa9-d71c753cfe47,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
86583bec-9b3a-4b67-940d-c3ba5a422d81,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
c6d88159-b905-4e0f-abfd-ad8f337446bb,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$37",1,1,0,"6 pc. Chicken McNuggets®"
00b16bb4-71d4-4175-98fa-42670aa0cae5,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
09c08384-dce2-47f9-9b03-0555499a84ee,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$23",1,1,0,"6 pc. Chicken McNuggets®"
