Date,Is self serve campaign,Campaign ID,Campaign name,Type of promotion,Campaign start date,Campaign end date,Store ID,Store name,Currency,Orders,Sales,Customer discounts from marketing | (Funded by you),Customer discounts from marketing | (Funded by DoorDash),Customer discounts from marketing | (Funded by a third-party),Marketing fees | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Average order value,ROAS,New customers acquired,Existing customers acquired,Total customers acquired,New DP customers acquired,Existing DP customers acquired,Total DP customers acquired
2025-06-22,false,1ab90f22-4581-4ef6-9a8b-01ded258aa62,mcd-free10pc15-061925-062525-dp,Custom campaign,2025-06-19,2025-06-26,685609,McDonald's (16255-LORAIN),USD,14,333.23,106.26,0.00,0.00,0.00,0.00,0.00,23.80,3.14,0,13,13,0,13,13
2025-06-22,true,c1cfc406-21d0-4e43-baa8-b9553a33e4ef,"First order, 20% off 09/05/2024",Discount for new customers,2024-09-05,None,685609,McDonald's (16255-LORAIN),USD,1,15.58,3.12,0.00,0.00,0.99,0.00,0.00,15.58,3.79,1,0,1,0,0,0
2025-06-22,false,4eba9762-786f-4fc4-aede-412b8bdcb990,mcd-freebm15-060125-063025-newcx-lapsed-1-v2,Custom campaign,2025-06-01,2025-07-01,685609,McDonald's (16255-LORAIN),USD,3,72.86,22.77,0.00,0.00,0.00,0.00,0.00,24.29,3.20,0,2,3,0,1,2
2025-06-23,false,4eba9762-786f-4fc4-aede-412b8bdcb990,mcd-freebm15-060125-063025-newcx-lapsed-1-v2,Custom campaign,2025-06-01,2025-07-01,685609,McDonald's (16255-LORAIN),USD,1,32.58,7.59,0.00,0.00,0.00,0.00,0.00,32.58,4.29,0,1,1,0,1,1
2025-06-23,false,1ab90f22-4581-4ef6-9a8b-01ded258aa62,mcd-free10pc15-061925-062525-dp,Custom campaign,2025-06-19,2025-06-26,685609,McDonald's (16255-LORAIN),USD,9,251.53,68.31,0.00,0.00,0.00,0.00,0.00,27.95,3.68,0,9,9,0,9,9
2025-06-24,true,c1cfc406-21d0-4e43-baa8-b9553a33e4ef,"First order, 20% off 09/05/2024",Discount for new customers,2024-09-05,None,685609,McDonald's (16255-LORAIN),USD,2,44.88,8.90,0.00,0.00,1.98,0.00,0.00,22.44,4.13,2,0,2,0,0,0
2025-06-24,false,1ab90f22-4581-4ef6-9a8b-01ded258aa62,mcd-free10pc15-061925-062525-dp,Custom campaign,2025-06-19,2025-06-26,685609,McDonald's (16255-LORAIN),USD,15,496.60,113.85,0.00,0.00,0.00,0.00,0.00,33.11,4.36,0,15,15,0,14,14
2025-06-24,false,4eba9762-786f-4fc4-aede-412b8bdcb990,mcd-freebm15-060125-063025-newcx-lapsed-1-v2,Custom campaign,2025-06-01,2025-07-01,685609,McDonald's (16255-LORAIN),USD,2,64.91,15.18,0.00,0.00,0.00,0.00,0.00,32.46,4.28,1,1,2,0,1,1
2025-06-25,false,4eba9762-786f-4fc4-aede-412b8bdcb990,mcd-freebm15-060125-063025-newcx-lapsed-1-v2,Custom campaign,2025-06-01,2025-07-01,685609,McDonald's (16255-LORAIN),USD,2,62.24,15.18,0.00,0.00,0.00,0.00,0.00,31.12,4.10,0,2,2,0,1,1
2025-06-25,true,c1cfc406-21d0-4e43-baa8-b9553a33e4ef,"First order, 20% off 09/05/2024",Discount for new customers,2024-09-05,None,685609,McDonald's (16255-LORAIN),USD,2,37.95,7.59,0.00,0.00,1.98,0.00,0.00,18.98,3.97,2,0,2,0,0,0
2025-06-25,false,1ab90f22-4581-4ef6-9a8b-01ded258aa62,mcd-free10pc15-061925-062525-dp,Custom campaign,2025-06-19,2025-06-26,685609,McDonald's (16255-LORAIN),USD,15,363.94,113.85,0.00,0.00,0.00,0.00,0.00,24.26,3.20,0,13,13,0,13,13
2025-06-26,true,c1cfc406-21d0-4e43-baa8-b9553a33e4ef,"First order, 20% off 09/05/2024",Discount for new customers,2024-09-05,None,685609,McDonald's (16255-LORAIN),USD,2,52.62,9.14,0.00,0.00,1.98,0.00,0.00,26.31,4.73,2,0,2,0,0,0
2025-06-26,false,1a024440-16ac-4d65-9cad-8fb430931d72,mcd-bogo-062625-063025-nondp,Custom campaign,2025-06-26,2025-07-01,685609,McDonald's (16255-LORAIN),USD,3,79.36,14.67,0.00,0.00,0.00,0.00,0.00,26.45,5.41,0,3,3,0,1,1
2025-06-26,false,1ab90f22-4581-4ef6-9a8b-01ded258aa62,mcd-free10pc15-061925-062525-dp,Custom campaign,2025-06-19,2025-06-26,685609,McDonald's (16255-LORAIN),USD,4,106.59,30.36,0.00,0.00,0.00,0.00,0.00,26.65,3.51,0,4,4,0,4,4
2025-06-26,false,4eba9762-786f-4fc4-aede-412b8bdcb990,mcd-freebm15-060125-063025-newcx-lapsed-1-v2,Custom campaign,2025-06-01,2025-07-01,685609,McDonald's (16255-LORAIN),USD,2,81.02,15.18,0.00,0.00,0.00,0.00,0.00,40.51,5.34,0,2,2,0,1,1
2025-06-26,false,e99c7d0f-2ec0-4a77-b43a-05020f988f75, mcd-bogo-062625-063025-dp - v2,Custom campaign,2025-06-26,2025-07-01,685609,McDonald's (16255-LORAIN),USD,4,190.65,19.16,0.00,0.00,0.00,0.00,0.00,47.66,9.95,0,3,4,0,3,4
2025-06-27,false,1a024440-16ac-4d65-9cad-8fb430931d72,mcd-bogo-062625-063025-nondp,Custom campaign,2025-06-26,2025-07-01,685609,McDonald's (16255-LORAIN),USD,1,21.97,4.89,0.00,0.00,0.00,0.00,0.00,21.97,4.49,0,1,1,0,0,0
2025-06-27,false,4eba9762-786f-4fc4-aede-412b8bdcb990,mcd-freebm15-060125-063025-newcx-lapsed-1-v2,Custom campaign,2025-06-01,2025-07-01,685609,McDonald's (16255-LORAIN),USD,2,46.63,15.18,0.00,0.00,0.00,0.00,0.00,23.32,3.07,1,1,2,1,1,2
2025-06-27,true,c1cfc406-21d0-4e43-baa8-b9553a33e4ef,"First order, 20% off 09/05/2024",Discount for new customers,2024-09-05,None,685609,McDonald's (16255-LORAIN),USD,5,160.14,23.70,0.00,0.00,4.95,0.00,0.00,32.03,5.59,5,0,5,2,0,2
2025-06-27,false,e99c7d0f-2ec0-4a77-b43a-05020f988f75, mcd-bogo-062625-063025-dp - v2,Custom campaign,2025-06-26,2025-07-01,685609,McDonald's (16255-LORAIN),USD,8,263.28,38.32,0.00,0.00,0.00,0.00,0.00,32.91,6.87,0,8,8,0,7,7
2025-06-28,false,e99c7d0f-2ec0-4a77-b43a-05020f988f75, mcd-bogo-062625-063025-dp - v2,Custom campaign,2025-06-26,2025-07-01,685609,McDonald's (16255-LORAIN),USD,8,213.90,38.32,0.00,0.00,0.00,0.00,0.00,26.74,5.58,0,8,8,0,8,8
