Date,Is self serve campaign,Campaign ID,Campaign name,Campaign start date,Campaign end date,Store ID,Store name,Currency,Impressions,Clicks,Orders,Sales,Marketing fees | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Average order value,Average CPA,ROAS,New customers acquired,Existing customers acquired,Total customers acquired
2025-06-23,false,7b5ed519-1f0b-4df7-92af-dda632acc27f,McDonald's Ad Campaign (GCM) 6/23-6/25/25,2025-06-23,2025-06-26,685609,McDonald's (16255-LORAIN),USD,42,4,3,60.34,9.00,0.00,0.00,20.11,3.00,6.70,0,3,3
2025-06-24,false,7b5ed519-1f0b-4df7-92af-dda632acc27f,McDonald's Ad Campaign (GCM) 6/23-6/25/25,2025-06-23,2025-06-26,685609,McDonald's (16255-LORAIN),USD,70,5,1,14.47,3.00,0.00,0.00,14.47,3.00,4.82,0,0,1
2025-06-25,false,7b5ed519-1f0b-4df7-92af-dda632acc27f,McDonald's Ad Campaign (GCM) 6/23-6/25/25,2025-06-23,2025-06-26,685609,McDonald's (16255-LORAIN),USD,48,5,2,43.65,6.00,0.00,0.00,21.83,3.00,7.28,0,2,2
2025-06-26,false,790e65ea-7d60-45fa-b097-49b02152df8d,SL - McDonald's (New Cx - DD Funded) 6/26-6/30/25 ,2025-06-26,2025-07-01,685609,McDonald's (16255-LORAIN),USD,47,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-06-26,false,a0401340-107b-4f91-8d4f-c64765541eb1,SL - McDonald's (Lapsed Cx - DD Funded) 6/26-6/30/25,2025-06-26,2025-07-01,685609,McDonald's (16255-LORAIN),USD,79,3,1,15.97,3.20,-3.20,0.00,15.97,3.20,4.99,0,1,1
2025-06-26,false,7b5ed519-1f0b-4df7-92af-dda632acc27f,McDonald's Ad Campaign (GCM) 6/23-6/25/25,2025-06-23,2025-06-26,685609,McDonald's (16255-LORAIN),USD,7,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-06-27,false,a0401340-107b-4f91-8d4f-c64765541eb1,SL - McDonald's (Lapsed Cx - DD Funded) 6/26-6/30/25,2025-06-26,2025-07-01,685609,McDonald's (16255-LORAIN),USD,111,6,1,20.38,3.20,-3.20,0.00,20.38,3.20,6.37,0,1,1
2025-06-27,false,790e65ea-7d60-45fa-b097-49b02152df8d,SL - McDonald's (New Cx - DD Funded) 6/26-6/30/25 ,2025-06-26,2025-07-01,685609,McDonald's (16255-LORAIN),USD,49,5,1,22.54,3.20,-3.20,0.00,22.54,3.20,7.04,1,0,1
2025-06-28,false,790e65ea-7d60-45fa-b097-49b02152df8d,SL - McDonald's (New Cx - DD Funded) 6/26-6/30/25 ,2025-06-26,2025-07-01,685609,McDonald's (16255-LORAIN),USD,44,5,1,22.12,3.20,-3.20,0.00,22.12,3.20,6.91,1,0,1
2025-06-28,false,a0401340-107b-4f91-8d4f-c64765541eb1,SL - McDonald's (Lapsed Cx - DD Funded) 6/26-6/30/25,2025-06-26,2025-07-01,685609,McDonald's (16255-LORAIN),USD,85,8,3,53.95,9.60,-9.60,0.00,17.98,3.20,5.62,0,2,3
