Store Name,Shop ID,Store ID,Order Count,Count of Misc payment,Sales (excl. tax),Tax on Sales,Sales (incl. tax),Order Error Adjustments,Tax on Order Error Adjustments,Order Error Adjustments (incl. tax),Price adjustments (excl. tax),Tax on Price Adjustments,Price Adjustments (incl. tax),Offers on items (incl. tax),Tax On Offers on items,Delivery Offer Redemptions (incl. tax),Tax On Delivery Offer Redemptions,Marketing Adjustment,Bag Fee,Marketplace Fee,Tax on Marketplace Fee,Delivery Network Fee,Tax on Delivery Network Fee,Order Processing Fee,Total Sales after Adjustments (incl tax),Capital payments,Other payments,Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Payout reference ID
McDonald's® (95 RICHMOND ST),914b0747-950e-436c-b45a-135451e7944a,1807,85,0,2167.65,0.81,2168.46,-7.69,0,-7.69,0,0,0,-396,0,0,0,0,0,-275.24,0,0,0,0,1772.46,0,0,-0.81,0,1488.72,8/11/25,51PBUFBR5M3INGL
McDonald's® (2102 RIVER AVE),e970bbdf-f08d-4973-beb7-e5705b9958f8,6678,18,0,624.85,0,624.85,-14.94,0,-14.94,0,0,0,-90.47,0,0,0,0,0,-81.67,0,0,0,0,534.38,0,0,0,0,437.77,8/11/25,2OIJZMD3LUJEP7O
McDonald's® (3221 OBERLIN AVE),ac90e816-e98a-4464-ba44-06592b167a86,16255,58,0,1429.15,0,1429.15,-60.71,0,-60.71,0,0,0,-143.55,0,0,0,0,0,-200.53,0,0,0,0,1285.6,0,0,0,0,1024.36,8/11/25,C7ZJSV10GGWE54Y
McDonald's® (35900 CENTER RIDGE RD),4213c40d-2b4e-40a2-8be5-f3ae4b6ca02f,34162,45,0,1166.41,1.1,1167.51,-6.84,0,-6.84,0,0,0,-95.76,0,0,0,0,0,-160.23,0,0,0,0,1071.75,0,0,-1.1,0,903.58,8/12/25,ZD92PEY0807XKXX
McDonald's® (1725 HENDERSON DRIVE),87d18902-06ce-4939-882a-370dc8ce8dec,24316,83,0,2046.84,0.7,2047.54,-82.43,0,-82.43,0,0,0,-274.39,0,0,0,0,0,-273.76,0,0,0,0,1773.15,0,0,-0.7,-343.09,1073.17,8/11/25,WGKXLZLGXB9CTZP
McDonald's (4783 Liberty Ave),3d2d8bd9-5a32-543b-a0f7-836f141dd27d,23727,2,0,86.9,0,86.9,0,0,0,0,0,0,-4.89,0,0,0,0,0,-13.12,0,0,0,0,82.01,0,0,0,0,68.89,8/11/25,4ZDKSOH498RYJ2R
McDonald's® (412 Main St),9376c1e8-6220-4e4b-b294-87880ece685c,19593,5,0,107.85,0,107.85,0,0,0,0,0,0,-22.76,0,0,0,0,0,-13.61,0,0,0,0,85.09,0,0,0,0,71.48,8/11/25,PT24ZH6ER2BGQ62
McDonald's® (908 W PERKINS),ea956b12-1aa6-4350-8dfd-1b5d61c10b23,12283,20,0,505.43,0,505.43,0,0,0,0,0,0,-22.16,0,0,0,0,0,-74.02,0,0,0,0,483.27,0,0,0,0,409.25,8/11/25,B09UFOTOOM8NJMM
McDonald's® (117th St & Detroit),491f182f-a4e2-4f38-a00b-1aee28d778da,1568,325,10,7704.82,2.86,7707.68,-112.76,0,-112.76,0,0,0,-1308.81,0,0,0,0,0,-992.46,0,0,0,0,6398.87,0,-18.53,-2.86,0,5272.26,8/11/25,8V9UYX4YAPCO56G
McDonald's® (32528 LORAIN RD),bde8a002-39d6-4f1e-b33f-1d64a3fa32ca,16875,112,0,3123.52,1.97,3125.49,-13.58,0,-13.58,0,0,0,-372.04,0,0,0,0,0,-429.53,0,0,0,0,2753.45,0,0,-1.97,0,2308.37,8/11/25,A09X4K683U9X19B
McDonald's (31 W MAIN STREET),897eca28-a40a-5b68-be9b-7981deae2e9a,11969,1,0,22.18,0,22.18,0,0,0,0,0,0,0,0,0,0,0,0,-3.55,0,0,0,0,22.18,0,0,0,0,18.63,8/11/25,WTXGCERV5TYTG42
McDonald's® (Puritas & 143rd St),a198a1e2-b045-4037-996c-f6d56c9b46c9,11366,69,0,1628.55,0,1628.55,-3.15,0,-3.15,0,0,0,-253.53,0,0,0,0,0,-207.02,0,0,0,0,1375.02,0,0,0,0,1164.85,8/11/25,21PC8436FOX3V3X
McDonald's® (1582 MENTOR AVE),bb8cdad5-292d-45b0-8d99-161e2c07ef8d,10705,23,0,557.01,0.04,557.05,-2.6,0,-2.6,0,0,0,-69.08,0,0,0,0,0,-74.36,0,0,0,0,487.97,0,0,-0.04,0,410.97,8/11/25,WIJC4FNG3V3X03I
McDonald's® (Lorain & 226th St),18963aec-6a43-4d25-b62c-a6aaf5644d5f,174,78,0,1986.57,1.99,1988.56,-13.85,0,-13.85,0,0,0,-332.92,0,0,0,0,0,-253,0,0,0,0,1655.64,0,0,-1.99,0,1386.8,8/11/25,UNF8QNIIM8O5WKL
