Store Name,Shop ID,Store ID,Order Count,Count of Misc payment,Sales (excl. tax),Tax on Sales,Sales (incl. tax),Order Error Adjustments,Tax on Order Error Adjustments,Order Error Adjustments (incl. tax),Price adjustments (excl. tax),Tax on Price Adjustments,Price Adjustments (incl. tax),Offers on items (incl. tax),Tax On Offers on items,Delivery Offer Redemptions (incl. tax),Tax On Delivery Offer Redemptions,Marketing Adjustment,Bag Fee,Marketplace Fee,Tax on Marketplace Fee,Delivery Network Fee,Tax on Delivery Network Fee,Order Processing Fee,Total Sales after Adjustments (incl tax),Other payments,Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Payout reference ID
McDonald's® (95 RICHMOND ST),914b0747-950e-436c-b45a-135451e7944a,1807,109,0,2798.38,6.39,2804.77,-14.76,-0.14,-14.9,0,0,0,-464.7,0,0,0,0,0,-356.7,0,0,0,0,2340.07,0,-6.25,0,1962.22,8/5/25,GKSI9L7OQXA0IM9
McDonald's® (2102 RIVER AVE),e970bbdf-f08d-4973-beb7-e5705b9958f8,6678,32,0,879.21,1.81,881.02,0,0,0,0,0,0,-139.98,0,0,0,0,0,-112.12,0,0,0,0,741.04,0,-1.81,0,627.11,8/4/25,3N26K2GFI6QLFK2
McDonald's® (3221 OBERLIN AVE),ac90e816-e98a-4464-ba44-06592b167a86,16255,90,0,2501.48,8.5,2509.98,-54.74,0,-54.74,0,0,0,-305.38,0,0,0,0,0,-341.08,0,0,0,0,2204.6,0,-8.5,0,1800.28,8/5/25,FK923LRT59K65CV
McDonald's® (35900 CENTER RIDGE RD),4213c40d-2b4e-40a2-8be5-f3ae4b6ca02f,34162,41,0,1182.68,1.99,1184.67,-11.48,0,-11.48,0,0,0,-150.19,0,0,0,0,0,-158.14,0,0,0,0,1034.48,0,-1.99,0,862.87,8/5/25,FTSLREUT81IA8M6
McDonald's® (1725 HENDERSON DRIVE),87d18902-06ce-4939-882a-370dc8ce8dec,24316,91,0,2099.84,4.61,2104.45,-36.75,-0.69,-37.44,0,0,0,-262.32,0,0,0,0,0,-285.82,0,0,0,0,1842.13,0,-3.92,-365.58,1149.37,8/4/25,6TBFT0PCIAW8TCG
McDonald's® (412 Main St),9376c1e8-6220-4e4b-b294-87880ece685c,19593,2,0,48.49,0,48.49,0,0,0,0,0,0,-8.68,0,0,0,0,0,-6.16,0,0,0,0,39.81,0,0,0,33.65,8/4/25,DXCKXU2T2KDN330
McDonald's® (908 W PERKINS),ea956b12-1aa6-4350-8dfd-1b5d61c10b23,12283,22,0,542,2.4,544.4,-11.49,0,-11.49,0,0,0,-37.92,0,0,0,0,0,-75.58,0,0,0,0,506.48,0,-2.4,0,417.01,8/4/25,L2IUPK5RCPHOK98
McDonald's® (117th St & Detroit),491f182f-a4e2-4f38-a00b-1aee28d778da,1568,349,9,8306.8,21.76,8328.56,-73.68,-0.68,-74.36,0,0,0,-1646.9,0,0,0,0,0,-1031.72,0,0,0,0,6681.66,-21.58,-21.08,0,5532.92,8/5/25,YT2H1IRM7FIRVMB
McDonald's® (32528 LORAIN RD),bde8a002-39d6-4f1e-b33f-1d64a3fa32ca,16875,118,0,3160.1,11.34,3171.44,-18.58,0,-18.58,0,0,0,-385.95,0,0,0,0,0,-428,0,0,0,0,2785.49,0,-11.34,0,2327.57,8/5/25,7ZJYO2ZV5FQEFX0
McDonald's® (2118 Cleveland Rd W),71c6a949-9742-4f39-b06e-718610aca49a,6106,1,0,15.75,0,15.75,0,0,0,0,0,0,0,0,0,0,0,0,-2.52,0,0,0,0,15.75,0,0,0,13.23,8/4/25,3Z2EAE2W18H65HQ
McDonald's® (Puritas & 143rd St),a198a1e2-b045-4037-996c-f6d56c9b46c9,11366,75,0,1785.25,6.02,1791.27,-5.99,-0.48,-6.47,0,0,0,-319.56,0,0,0,0,0,-223.98,0,0,0,0,1471.71,0,-5.54,0,1235.72,8/4/25,KYP8LQ8OPQ4MEDL
McDonald's® (1582 MENTOR AVE),bb8cdad5-292d-45b0-8d99-161e2c07ef8d,10705,22,0,582.02,1.89,583.91,-27.09,0,-27.09,0,0,0,-113.72,0,0,0,0,0,-69.59,0,0,0,0,470.19,0,-1.89,0,371.62,8/4/25,VW3R0M4WHPXVBEB
McDonald's® (Lorain & 226th St),18963aec-6a43-4d25-b62c-a6aaf5644d5f,174,83,0,2201.73,7.11,2208.84,-9.48,0,-9.48,0,0,0,-395.93,0,0,0,0,0,-276.54,0,0,0,0,1812.91,0,-7.11,0,1519.78,8/4/25,HT5W859ZOSSOBGQ
McDonald's® (249 Benedict Ave),e491d6e9-a063-4943-81ed-5db185c208ec,3401,2,0,35.02,0,35.02,0,0,0,0,0,0,-6.39,0,0,0,0,0,-4.25,0,0,0,0,28.63,0,0,0,24.38,8/5/25,SOGCU39Q3SBOV5Z
McDonald's® (4204 MILAN ROAD),eee7f2d1-f345-4d2b-b24e-08abe3c24f17,32777,1,0,21.64,0.44,22.08,0,0,0,0,0,0,-4.05,0,0,0,0,0,-2.46,0,0,0,0,18.03,0,-0.44,0,15.13,8/5/25,C9R7PFMQZ3XHKJH
McDonald's® (Lorain & Dover Center),67ae0730-77ff-491f-a800-6535242e3a09,817,133,0,3356.53,6.76,3363.29,-38.67,-1.27,-39.94,0,0,0,-592.71,0,0,0,0,0,-421.03,0,0,0,0,2770.58,0,-5.49,0,2304.12,8/5/25,AT23719358F6UE9
