Store Name,Shop ID,Store ID,Order Count,Count of Misc payment,Sales (excl. tax),Tax on sales,Sales (incl. tax),Refunds (excl tax),Tax on Refunds,Refunds (incl tax),Price adjustments (excl. tax),Tax on price adjustments,Adjustments (including tax),Promotions on items,Tax on Promotion on items,Promotions on delivery,Tax on Promotions on Delivery,Marketing adjustment,Bag Fee,Marketplace fee,Tax on Marketplace fee,Delivery Network Fee,Tax on delivery network fee,Order Processing Fee,Total Sales after Adjustments (incl tax),Other payments,Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Payout reference ID
McDonald's® (117th St & Detroit),491f182f-a4e2-4f38-a00b-1aee28d778da,1568,296,10,6466.67,49.55,6516.22,-138.51,-1.9,-140.41,0,0,0,-506.61,0,0,0,0,0,-917.37,0,0,0,0,6009.61,25.58,-47.65,0,4976.76,7/14/25,WCUTNZAGOUH8LW3
McDonald's® (1582 MENTOR AVE),bb8cdad5-292d-45b0-8d99-161e2c07ef8d,10705,21,2,484.46,2.45,486.91,-6.69,0,-6.69,0,0,0,-34.74,0,0,0,0,0,-67.69,0,0,0,0,452.17,0,-2.45,0,381.19,7/14/25,F86FNOP30633UUP
McDonald's® (1725 HENDERSON DRIVE),87d18902-06ce-4939-882a-370dc8ce8dec,24316,56,6,1438.89,6.19,1445.08,-26.87,0,-26.87,0,0,0,-68.97,0,0,0,0,0,-211.98,0,0,0,0,1376.11,8.37,-6.19,-274.85,870.5,7/14/25,TMYPW10PFCCDXN1
McDonald's® (2102 RIVER AVE),e970bbdf-f08d-4973-beb7-e5705b9958f8,6678,15,1,460.5,0.82,461.32,0,0,0,0,0,0,-5.49,0,0,0,0,0,-69.34,0,0,0,0,455.83,0,-0.82,0,387.68,7/14/25,9OTWILED33O0NV1
McDonald's® (249 Benedict Ave),e491d6e9-a063-4943-81ed-5db185c208ec,3401,2,0,66.63,0.2,66.83,0,0,0,0,0,0,0,0,0,0,0,0,-9.77,0,0,0,0,66.83,0,-0.2,0,56.86,7/14/25,AJ06B19MXP5JOD4
McDonald's® (3221 OBERLIN AVE),ac90e816-e98a-4464-ba44-06592b167a86,16255,74,2,2065.72,11.65,2077.37,-14.43,0,-14.43,0,0,0,-204.39,0,0,0,0,0,-283.37,0,0,0,0,1872.98,0,-11.65,0,1570.17,7/14/25,XI8R28EIX3NIA2Q
McDonald's® (32528 LORAIN RD),bde8a002-39d6-4f1e-b33f-1d64a3fa32ca,16875,96,2,2638.26,12.53,2650.79,-7.59,0,-7.59,0,0,0,-161.22,0,0,0,0,0,-386.78,0,0,0,0,2489.57,0,-12.53,0,2096.47,7/14/25,I4I4GJD8NYENDUI
McDonald's® (35900 CENTER RIDGE RD),4213c40d-2b4e-40a2-8be5-f3ae4b6ca02f,34162,38,2,982.08,4.58,986.66,0,0,0,0,0,0,-31.14,0,0,0,0,0,-144.45,0,0,0,0,955.52,0,-4.58,0,809.75,7/14/25,DK7FK4H2WFFY58V
McDonald's® (412 Main St),9376c1e8-6220-4e4b-b294-87880ece685c,19593,1,1,60.03,0,60.03,0,0,0,0,0,0,-7.59,0,0,0,0,0,-8.39,0,0,0,0,52.44,0,0,0,44.69,7/14/25,FY36G8P77Z7F0OV
McDonald's® (4204 MILAN ROAD),eee7f2d1-f345-4d2b-b24e-08abe3c24f17,32777,7,0,191.29,2.56,193.85,0,0,0,0,0,0,-15.18,0,0,0,0,0,-25.4,0,0,0,0,178.67,0,-2.56,0,150.71,7/14/25,2FHBY0WG11PDZ0O
McDonald's® (908 W PERKINS),ea956b12-1aa6-4350-8dfd-1b5d61c10b23,12283,13,2,311.69,3.22,314.91,0,0,0,0,0,0,-33.15,0,0,0,0,0,-42.47,0,0,0,0,281.76,0,-3.22,0,238.69,7/14/25,9IBMC1IJSWBI7ZY
McDonald's® (95 RICHMOND ST),914b0747-950e-436c-b45a-135451e7944a,1807,73,3,1796.12,11.73,1807.85,-7.88,0,-7.88,0,0,0,-94.24,0,0,0,0,0,-258.09,0,0,0,0,1713.61,43.51,-11.73,0,1489.99,7/14/25,DZSUFVUE6AOZS9D
McDonald's® (Lorain & 226th St),18963aec-6a43-4d25-b62c-a6aaf5644d5f,174,86,2,2164.14,13.2,2177.34,-36.83,-0.99,-37.82,0,0,0,-79.05,0,0,0,0,0,-318.57,0,0,0,0,2098.29,0,-12.21,0,1745.47,7/14/25,5W823RP99BVQNAF
McDonald's® (Lorain & Dover Center),67ae0730-77ff-491f-a800-6535242e3a09,817,102,2,2259.83,16.88,2276.71,-20.53,0,-20.53,0,0,0,-84.66,0,0,0,0,0,-330.13,0,0,0,0,2192.05,0,-16.88,0,1849.67,7/14/25,NNB39VAX5POO6MU
McDonald's® (Puritas & 143rd St),a198a1e2-b045-4037-996c-f6d56c9b46c9,11366,70,2,1646.32,9.83,1656.15,-31.05,0,-31.05,0,0,0,-74.88,0,0,0,0,0,-241.19,0,0,0,0,1581.27,0,-9.83,0,1310.32,7/14/25,VL6RZ3H060UXVVO
