Campaign UUID,Offer type,Status,Start date,End date,Stores,Audience,Sales (USD),New customers,Orders,Uber funding (%),Items
cc0f6450-6dbd-4914-893f-2d1fa4c9fb48,"$0 Delivery Fee",COMPLETED,"Jul 13, 2025","Jul 20, 2025",1,"All customers","$0",0,0,100,""
94643e84-44c0-4fb2-94b2-eb1e001e5391,"Free Item (Spend 15)",COMPLETED,"Jul 9, 2025","Jul 20, 2025",1,"Custom audience","$99",0,4,0,"Medium French Fries"
efb134e1-fd43-405d-8b53-d4e4ebb4d3aa,"Free Item (Spend 15)",COMPLETED,"Jul 9, 2025","Jul 20, 2025",1,"Custom audience","$233",0,8,0,"Medium French Fries"
d47f8968-4d56-4656-94ae-b54317f7f510,"Free Item (Spend 15)",COMPLETED,"Jul 9, 2025","Jul 20, 2025",1,"Custom audience","$0",0,0,0,""
fe1aa72a-58d9-40fe-b212-208f6cf7227a,"Free Item (Spend 15)",COMPLETED,"Jul 9, 2025","Jul 20, 2025",1,"Custom audience","$0",0,0,0,""
734cee3a-6a25-4155-9ee8-19a766f200d5,"Free Item (Spend 15)",COMPLETED,"Jul 9, 2025","Jul 20, 2025",1,"Custom audience","$32",0,1,0,"Medium French Fries"
caabc160-5347-4f31-9286-1ac486ad1ab6,"Free Item (Spend 15)",COMPLETED,"Jul 9, 2025","Jul 20, 2025",1,"Custom audience","$23",0,1,0,"Medium French Fries"
2c1b2d6e-a2bf-46a7-886f-b58fe95c8cdc,"Free Item (Spend 15)",COMPLETED,"Jul 9, 2025","Jul 20, 2025",1,"Custom audience","$0",0,0,0,""
362cf8d4-e37d-4e7a-93c3-3a1d93d85b61,"Free Item (Spend 15)",COMPLETED,"Jul 9, 2025","Jul 20, 2025",1,"Custom audience","$0",0,0,0,""
d646803f-5e63-40a4-827b-87f0a3f723f9,"Free Item (Spend 15)",COMPLETED,"Jul 9, 2025","Jul 20, 2025",1,"Custom audience","$0",0,0,0,""
cb4e91a7-2bd3-4589-b525-ad9f265d35c9,"Free Item (Spend 15)",COMPLETED,"Jul 9, 2025","Jul 20, 2025",1,"Custom audience","$468",3,15,0,"Medium French Fries"
b5bbdf19-9772-48a7-858e-2d67be43eecd,"Free Item (Spend 15)",COMPLETED,"Jul 9, 2025","Jul 20, 2025",1,"Custom audience","$175",1,6,0,"Medium French Fries"
8f73b6ff-f883-4911-a453-4064e427679c,"Free Item (Spend 15)",COMPLETED,"Jul 9, 2025","Jul 20, 2025",1,"Custom audience","$0",0,0,0,""
2e010c37-d344-4d9f-b52a-d0193f2ad876,"Free Item (Spend 15)",COMPLETED,"Jul 9, 2025","Jul 20, 2025",1,"Custom audience","$816",1,29,0,"Medium French Fries"
d6d4a9b8-5a45-4ba9-b747-b241c4fe93d8,"Free Item (Spend 15)",COMPLETED,"Jul 9, 2025","Jul 20, 2025",1,"Custom audience","$193",1,3,0,"Medium French Fries"
