Store Name,Shop ID,Store ID,Order Count,Count of Misc payment,Sales (excl. tax),Tax on sales,Sales (incl. tax),Refunds (excl tax),Tax on Refunds,Refunds (incl tax),Price adjustments (excl. tax),Tax on price adjustments,Adjustments (including tax),Promotions on items,Tax on Promotion on items,Promotions on delivery,Tax on Promotions on Delivery,Marketing adjustment,Bag Fee,Marketplace fee,Tax on Marketplace fee,Delivery Network Fee,Tax on delivery network fee,Order Processing Fee,Total Sales after Adjustments (incl tax),Other payments,Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Payout reference ID
McDonald's® (117th St & Detroit),491f182f-a4e2-4f38-a00b-1aee28d778da,1568,243,9,5538.94,36.82,5575.76,-123.46,-0.58,-124.04,0,0,0,-414.53,0,0,0,0,0,-793.8,0,0,0,0,5161.23,-18.52,-36.24,0,4277.78,7/7/25,E3TTSUO0PEUHCCW
McDonald's® (1582 MENTOR AVE),bb8cdad5-292d-45b0-8d99-161e2c07ef8d,10705,18,2,521.97,3.52,525.49,-5.9,0,-5.9,0,0,0,-27.45,0,0,0,0,0,-76.1,0,0,0,0,498.04,0,-3.52,0,423.21,7/7/25,B7DRLQ3DPQ2ABNE
McDonald's® (1725 HENDERSON DRIVE),87d18902-06ce-4939-882a-370dc8ce8dec,24316,47,4,1427.69,7.37,1435.06,-65.22,0,-65.22,0,0,0,-51.3,0,0,0,0,0,-213.69,0,0,0,0,1383.76,0,-7.37,-243.31,770.57,7/7/25,QO45RWUI4GBZXQZ
McDonald's® (2102 RIVER AVE),e970bbdf-f08d-4973-beb7-e5705b9958f8,6678,16,2,462.06,3.32,465.38,0,0,0,0,0,0,-63.22,0,0,0,0,0,-61.94,0,0,0,0,402.16,0,-3.32,0,340.76,7/7/25,8S5YO6BFUWLWSW5
McDonald's® (2118 Cleveland Rd W),71c6a949-9742-4f39-b06e-718610aca49a,6106,1,0,47.02,0,47.02,0,0,0,0,0,0,-8.39,0,0,0,0,0,-5.41,0,0,0,0,38.63,0,0,0,33.22,7/7/25,N3XH9GZI07EUOKJ
McDonald's® (249 Benedict Ave),e491d6e9-a063-4943-81ed-5db185c208ec,3401,1,0,36.94,0,36.94,0,0,0,0,0,0,-4.55,0,0,0,0,0,-5.18,0,0,0,0,32.39,0,0,0,27.21,7/7/25,C6AUQSBZASHQGFH
McDonald's® (3221 OBERLIN AVE),ac90e816-e98a-4464-ba44-06592b167a86,16255,56,2,1322.81,9.03,1331.84,-17.87,-0.43,-18.3,0,0,0,-63.88,0,0,0,0,0,-189.86,0,0,0,0,1267.96,0,-8.6,0,1063.83,7/7/25,IVL59P5AIN7KOTG
McDonald's® (32528 LORAIN RD),bde8a002-39d6-4f1e-b33f-1d64a3fa32ca,16875,99,2,2840.85,9.48,2850.33,-7.55,0,-7.55,0,0,0,-192.09,0,0,0,0,0,-414.09,0,0,0,0,2658.24,0,-9.48,0,2254.23,7/7/25,9UWA60387ELA2ZT
McDonald's® (35900 CENTER RIDGE RD),4213c40d-2b4e-40a2-8be5-f3ae4b6ca02f,34162,33,2,876.36,5.1,881.46,-5.19,-0.3,-5.49,0,0,0,-30.35,0,0,0,0,0,-129.18,0,0,0,0,851.11,0,-4.8,0,724.59,7/7/25,5W15AHPAE7VH8UX
McDonald's® (412 Main St),9376c1e8-6220-4e4b-b294-87880ece685c,19593,1,1,14.55,0,14.55,0,0,0,0,0,0,0,0,0,0,0,0,-2.33,0,0,0,0,14.55,0,0,0,12.54,7/7/25,1TWMZJMHGJOYLZ8
McDonald's® (4204 MILAN ROAD),eee7f2d1-f345-4d2b-b24e-08abe3c24f17,32777,3,2,117.69,1.05,118.74,0,0,0,0,0,0,0,0,0,0,0,0,-16.48,0,0,0,0,118.74,0,-1.05,0,102.71,7/7/25,NRT958DOXA0RWM2
McDonald's® (908 W PERKINS),ea956b12-1aa6-4350-8dfd-1b5d61c10b23,12283,8,2,189.28,0.75,190.03,0,0,0,0,0,0,-15.57,0,0,0,0,0,-26.09,0,0,0,0,174.46,0,-0.75,0,150.3,7/7/25,B0MUNR43II5KFC9
McDonald's® (95 RICHMOND ST),914b0747-950e-436c-b45a-135451e7944a,1807,73,2,1742.18,8.91,1751.09,0,0,0,0,0,0,-57.59,0,0,0,0,0,-253.18,0,0,0,0,1693.5,0,-8.91,0,1451.86,7/7/25,DWGLNOIFE67TYKV
McDonald's® (Lorain & 226th St),18963aec-6a43-4d25-b62c-a6aaf5644d5f,174,64,2,1578.42,6.24,1584.66,-38.15,0,-38.15,0,0,0,-94.23,0,0,0,0,0,-230.68,0,0,0,0,1490.43,0,-6.24,0,1238.6,7/7/25,XAVNFL203PHYHTC
McDonald's® (Lorain & Dover Center),67ae0730-77ff-491f-a800-6535242e3a09,817,92,2,2403.09,18.89,2421.98,-49.77,0,-49.77,0,0,0,-191.27,0,0,0,0,0,-340.71,0,0,0,0,2230.71,0,-18.89,0,1861.73,7/7/25,PN5H0EW1ZMFXKP4
McDonald's® (Puritas & 143rd St),a198a1e2-b045-4037-996c-f6d56c9b46c9,11366,61,2,1488.86,9.58,1498.44,-35.71,0,-35.71,0,0,0,-66.99,0,0,0,0,0,-217.9,0,0,0,0,1431.45,0,-9.58,0,1199.54,7/7/25,RGU30IJKPIN3ORZ
